,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Ene
98,CCGCL,-102.06,26.98,COAH,Cuatro Ciénegas Coah.,5.620689655,14.17241379,22.72413793,13.9
99,PRSCL,-101.0,27.42,COAH,Progreso Coah.,4.310344828,12.20689655,20.10344828,18.0
100,VCRCL,-100.62,27.52,COAH,Venustiano Carranza Coah.,5.964285714,12.80357143,19.64285714,15.03
101,PNGCL,-100.53,28.71,COAH,Piedras Negras Coah.,6.911111111,13.42222222,19.93333333,3.8
102,ZPTCL,-100.9,29.03,COAH,Zapata Coah.,4.633333333,11.01666667,17.4,5.0
103,CNTCL,-100.95,29.21,COAH,El Centenario Coah.,4.666666667,11.27777778,17.88888889,5.0
104,CDACL,-100.95,29.33,COAH,Ciudad Acuña Coah.,4.814814815,12.14814815,19.48148148,3.02
105,AMSCL,-101.06,29.45,COAH,Internacional La Amistad Coah.,5.607142857,11.89285714,18.17857143,3.01
106,CDOCM,-103.72,18.75,COL,Cerro de Ortega Col.,18.32258065,25.99193548,33.66129032,0.01
107,LDACM,-103.77,18.81,COL,Laguna de Amela Col.,18.43333333,25.35833333,32.28333333,0.01
108,MNZCM,-104.32,19.04,COL,Manzanillo Col.,22.73870968,27.11774194,31.49677419,0.0
109,LPSCM,-103.73,19.22,COL,La Posta Col.,17.37096774,25.29032258,33.20967742,0.2
110,RDRCM,-103.73,19.22,COL,Radar Col.,19.96774194,27.048387100000003,34.12903226,0.0
111,BVSCM,-103.61,19.25,COL,Buena Vista Col.,15.5483871,24.12096774,32.69354839,0.01
112,DATDF,-99.2,19.3,DF,Desviación Alta Cd. de Méx.,8.806451613,15.87096774,22.93548387,2.0
113,CBIDF,-99.17,19.45,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,9.119354839,15.68709677,22.25483871,0.75
114,SJADF,-99.07,19.47,DF,San Juan de Aragón Cd. de Méx.,6.661290322999999,15.15322581,23.64516129,7.8
115,CEADF,-99.14,19.52,DF,Campamento Amealco Cd. de Méx.,6.564516128999999,15.16129032,23.75806452,3.2
116,GVCDR,-104.75,23.96,DGO,Presidente Guadalupe Victoria Dgo.,4.6290322580000005,12.23387097,19.83870968,0.5
117,FVLDR,-103.96,24.0,DGO,Francisco Villa Dgo.,3.419354839,14.38709677,25.35483871,1.51
118,DRGDR,-104.67,24.03,DGO,Durango Dgo.,4.619354839,14.56774194,24.51612903,1.21
119,CNTDR,-104.75,24.5,DGO,Canatlán Dgo.,2.129032258,12.69354839,23.25806452,2.7
120,CBRDR,-104.81,24.54,DGO,Caboraca Dgo.,0.935483871,9.669354839,18.40322581,3.02
121,SACDR,-105.44,25.22,DGO,Salomé Acosta Dgo.,1.822580645,12.47580645,23.12903226,10.31
122,FZRDR,-103.77,25.27,DGO,Francisco Zarco Dgo.,7.870967742,14.70967742,21.548387100000003,5.62
123,CLRDR,-103.52,25.53,DGO,Ciudad Lerdo Dgo.,7.096774194,14.12903226,21.16129032,2.93
124,THODR,-103.44,26.11,DGO,Tlahualilo Dgo.,4.258064516,13.33870968,22.41935484,11.81
125,VHGDR,-104.93,26.24,DGO,Villa Hidalgo Dgo.,1.0806451609999999,11.34677419,21.61290323,30.5
126,CEBDR,-104.12,26.52,DGO,Ceballos Dgo.,1.0,12.43548387,23.87096774,9.22
127,OMEGR,-98.43,16.68,GRO,Ometepec Gro.,15.0,20.51612903,26.03225806,0.0
128,ACUGR,-99.75,16.76,GRO,Acapulco Gro. SMN*,18.80967742,26.00483871,33.2,0.0
129,ODAGR,-99.8,16.8,GRO,Observatorio de Acapulco Gro.,21.64193548,27.46935484,33.29677419,0.0
130,AYUGR,-99.1,16.95,GRO,Ayutla Gro.,16.83870968,25.21774194,33.59677419,0.0
131,SJEGR,-100.47,17.14,GRO,San Jerónimo Gro.,21.48387097,26.74193548,32.0,0.0
132,TCOGR,-99.53,17.17,GRO,Tierra Colorada Gro.,18.70967742,25.96774194,33.22580645,0.0
133,TLPGR,-98.6,17.5,GRO,Tlapa Gro.,12.5483871,21.56451613,30.58064516,0.0
134,CHIGR,-99.5,17.55,GRO,Chilpancingo Gro.,11.75806452,20.38709677,29.01612903,2.1
135,ODZGR,-99.5,17.6,GRO,Observatorio de Zumpango Gro.,14.51612903,21.37096774,28.22580645,0.0
136,CHLGR,-99.18,17.61,GRO,Chilapa Gro.,10.25806452,18.82258065,27.38709677,1.0
137,CCHGR,-99.7,17.67,GRO,Chichihualco Gro.,10.80645161,21.20967742,31.61290323,0.0
138,OLNGR,-98.74,17.78,GRO,Olinala Gro.,11.12903226,24.12903226,37.12903226,6.5
139,TLAGR,-99.98,17.79,GRO,Tlacotepec Gro.,8.290322581,13.96774194,19.64516129,0.0
140,XXHGR,-98.49,17.9,GRO,Xochihuehuetlán Gro.,10.48387097,22.08064516,33.67741935,0.0
141,IGLGR,-99.55,18.35,GRO,Iguala Gro.,15.48709677,23.83709677,32.18709677,0.0
