,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Ene
0,COMGJ,-101.47,21.07,GTO,Comanjilla Gto.,6.193548387000001,15.84677419,25.5,0.0
1,SFEGJ,-101.22,21.48,GTO,San Felipe Gto.,2.596774194,11.25,19.90322581,3.2
2,OCTMR,-98.76,18.88,MOR,Ocuituco Mor.,8.677419355,17.41612903,26.15483871,0.0
3,RAVSI,-107.76,25.12,SIN,Estación Rancho Viejo Sin.,10.4516129,20.29032258,30.12903226,0.01
4,SONVC,-95.03,18.52,VER,Sontecomapan Ver.,14.74074074,20.00925926,25.27777778,181.53
5,CORGJ,-100.36,20.2,GTO,Coroneo Gto.,2.516129032,13.08064516,23.64516129,1.2
6,LQMGJ,-101.11,21.32,GTO,La Quemada Gto.,1.870967742,11.5483871,21.22580645,0.0
7,TAPVC,-96.97,19.45,VER,Tapachapan Ver.,10.56521739,15.5,20.43478261,45.51
8,QTZGR,-98.5,16.66,GRO,Quetzala Gro.,17.77419355,25.27419355,32.77419355,0.0
9,POZGJ,-100.5,21.22,GTO,Pozos Gto.,4.741935484,12.83870968,20.93548387,0.0
10,TORSI,-105.85,23.09,SIN,Las Tortugas Sin.,12.32258065,22.58064516,32.83870968,0.0
11,SMAGJ,-101.02,20.43,GTO,San Miguel de Allende Gto.,4.5,13.98387097,23.46774194,0.9
12,CLYMX,-99.24,19.53,MEX,Calacoaya Méx.,5.338709677,13.38709677,21.43548387,6.5
13,VANOX,-96.3,17.78,OAX,Valle Nacional Oax.,17.11538462,22.25,27.38461538,122.14
14,ESLCL,-100.92,25.44,COAH,E. C. Saltillo Coah.,6.379310345,12.85344828,19.32758621,10.45
15,ATEOX,-96.53,17.43,OAX,Atepec Oax.,7.387096774,16.01612903,24.64516129,4.0
16,CNNSO,-110.29,30.98,SON,Cananea Son.,3.333333333,11.275,19.21666667,34.3
17,TOTVC,-96.95,19.23,VER,Totutla Ver.,9.444444444,15.296296300000002,21.14814815,14.72
18,ZOQPB,-97.01,18.33,PUE,Zoquitlán Pue.,6.838709677000001,14.17741935,21.51612903,1.03
19,AMEMC,-101.66,19.93,MICH,Aristeo Mercado Mich.,6.467741935,15.47258065,24.47741935,0.2
20,YXTGR,-99.93,17.6,GRO,Yextla Gro.,10.19354839,17.37096774,24.548387100000003,0.0
21,OTIVC,-96.97,19.55,VER,Otilpan Ver.,9.25,14.0,18.75,56.6
22,SMOGJ,-100.75,20.58,GTO,San Miguel Octopan Gto.,6.822580645,15.06451613,23.30645161,0.01
23,SMAOX,-96.45,17.12,OAX,San Antonio Cuajimoloyas Oax.,2.677419355,8.967741935,15.25806452,5.22
24,SGOZC,-103.51,24.29,ZAC,Santiago Zac.,3.758064516,10.07258065,16.38709677,5.0
25,SLUBS,-109.92,22.89,BCS,Cabo San Lucas B.C.S. SMN*,18.13548387,22.69193548,27.248387100000006,0.0
26,XPJCA,-89.4,18.5,CAMP,Xpujil Camp.,17.96666667,23.56666667,29.16666667,21.0
27,CATARINITAS,-92.48,15.97,CHIS,Catarinitas Chis. SGT*,17.09032258,24.32258065,31.55483871,0.0
28,ZAPALUTA,-92.05,16.12,CHIS,Zapaluta Chis. SGT*,11.29032258,16.97580645,22.66129032,4.8
29,YAQUINTELA,-91.73,16.91,CHIS,Yaquintela Chis. SGT*,15.1,20.90344828,26.70689655,30.6
30,SCLDR,-103.35,24.47,DGO,Santa Clara Dgo.,0.774193548,11.83870968,22.90322581,6.5
31,LAGUNASGT,-98.13,20.14,HGO,La Laguna Hgo. SGT*,5.6356,10.6418,15.648,15.1
32,TLAJOMULCO,-103.42,20.44,JAL,Tlajomulco Jal. SMN*,5.95483871,15.77741935,25.6,5.6
33,AL2NL,-100.01,25.27,NL,Allende Dos N. L.,6.444444444,13.31481481,20.18518519,53.85
34,RHOOX,-95.48,16.59,OAX,Río Hondo Oax.,18.90322581,26.03225806,33.16129032,0.01
35,TLPPB,-96.85,18.4,PUE,Tlacotepec de Díaz Pue.,15.34482759,20.39655172,25.44827586,39.23
36,NECAXASGT,-98.0,20.22,PUE,Necaxa Pue. SGT*,9.900833333,13.76354167,17.62625,13.3
37,TANCHACHIN,-99.15,21.82,SLP,Tanchachín S.L.P. SGT*,14.8,20.10535714,25.41071429,38.5
38,TAPCP,-92.26,14.91,CHIS,Tapachula Chis.,22.31612903,28.39677419,34.47741935,0.0
39,NGRAG,-102.37,21.78,AGS,El Niagara Ags.,3.741935484,14.02419355,24.30645161,5.51
40,MNLAG,-102.79,21.81,AGS,Media Luna Ags.,3.483870968,14.5,25.51612903,24.3
41,CALVILLO,-102.71,21.85,AGS,Calvillo Ags. SMN*,3.874193548,15.198387099999998,26.52258065,18.17
